                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.3293,                0.63952,                 0.9752,                 1.7287,                0.84686,                0.94825,                0.85604,                 0.6287,                0.70324,                0.40308,                 1.2006,                0.50842,                0.94748,                 1.5213,                0.67258,                0.93321,                0.00637,                0.00637,                0.00637
                     58,                 1.3362,                0.64412,                0.97327,                 1.7325,                0.85225,                0.94631,                  0.857,                0.62891,                0.70353,                0.40363,                 1.1982,                0.50757,                0.94723,                 1.5192,                0.67161,                0.93262,               0.006304,               0.006304,               0.006304
                     59,                 1.3191,                0.63423,                0.97116,                 1.7106,                0.83214,                0.94554,                0.85712,                0.62927,                0.70374,                0.40403,                 1.1967,                0.50665,                0.94702,                 1.5183,                0.66919,                0.93215,               0.006238,               0.006238,               0.006238
                     60,                  1.322,                0.63476,                0.97168,                 1.7142,                0.83624,                0.94735,                0.85736,                0.62978,                0.70395,                0.40466,                 1.1949,                0.50588,                0.94619,                 1.5159,                0.66815,                0.93127,               0.006172,               0.006172,               0.006172
                     61,                 1.3248,                0.63403,                0.96778,                 1.7143,                0.82895,                0.94324,                0.85825,                0.63016,                0.70469,                0.40511,                 1.1934,                0.50441,                 0.9447,                 1.5145,                0.66573,                0.93055,               0.006106,               0.006106,               0.006106
                     62,                 1.3124,                0.62862,                0.96665,                 1.7106,                0.83184,                0.94244,                 0.8585,                0.63018,                0.70497,                0.40553,                  1.192,                0.50325,                0.94413,                 1.5132,                0.66468,                 0.9301,                0.00604,                0.00604,                0.00604
                     63,                 1.3112,                0.63106,                 0.9676,                 1.7013,                0.83344,                0.94275,                 0.8596,                0.62986,                 0.7051,                0.40596,                 1.1899,                0.50221,                0.94307,                 1.5114,                0.66437,                0.92911,               0.005974,               0.005974,               0.005974
                     64,                 1.3151,                0.62775,                0.96781,                 1.7091,                0.82712,                0.94273,                  0.859,                0.63081,                0.70587,                0.40694,                  1.188,                0.50116,                0.94212,                 1.5098,                0.66252,                0.92826,               0.005908,               0.005908,               0.005908
                     65,                 1.3136,                0.62922,                0.96629,                 1.7084,                0.82951,                0.94236,                0.86035,                 0.6308,                0.70631,                0.40737,                 1.1859,                0.50018,                0.94125,                 1.5075,                0.66199,                0.92763,               0.005842,               0.005842,               0.005842
                     66,                 1.3054,                0.62515,                0.96729,                 1.6942,                0.82543,                0.94374,                 0.8602,                0.63165,                0.70693,                0.40798,                 1.1841,                0.49901,                0.94074,                 1.5056,                0.66035,                0.92724,               0.005776,               0.005776,               0.005776
                     67,                 1.2954,                0.61765,                0.96497,                 1.6861,                0.81452,                0.94187,                0.85933,                0.63244,                0.70726,                 0.4086,                 1.1822,                0.49794,                0.93992,                 1.5041,                0.65907,                0.92644,                0.00571,                0.00571,                0.00571
